2023-06-02T08:43:02.610Z | connection.controller.create | INFO | connection has been created 
2023-06-02T08:43:02.712Z | connection.controller.findallwithdetails | INFO | retrieving the connections list 
2023-06-02T08:43:09.922Z | task.controller.findALLTasksForPipelineID | INFO | Retrieving the task for pipeline ID  
2023-06-02T08:43:10.109Z | configuration.controller.getTaskForm | INFO | retrieving task Form View 
2023-06-02T08:43:48.158Z | preview.controller.postgresqlPreviewTable | INFO | Successfully connected to the POSTGRESQL database 
2023-06-02T08:43:48.347Z | preview.controller.postgresqlPreviewTable | ERROR | Error fetching table rows 
2023-06-02T08:44:14.400Z | preview.controller.postgresqlPreviewTable | INFO | Successfully connected to the POSTGRESQL database 
2023-06-02T08:44:14.449Z | preview.controller.postgresqlPreviewTable | ERROR | Error fetching table rows 
2023-06-02T08:44:37.353Z | preview.controller.postgresqlPreviewTable | INFO | Successfully connected to the POSTGRESQL database 
2023-06-02T08:44:37.409Z | preview.controller.postgresqlPreviewTable | INFO | PostgreSQL preview successfull 
2023-06-02T08:44:45.428Z | preview.controller.postgresqlPreviewTable | INFO | Successfully connected to the POSTGRESQL database 
2023-06-02T08:44:45.487Z | preview.controller.postgresqlPreviewTable | ERROR | Error fetching table rows 
2023-06-02T08:44:59.123Z | preview.controller.postgresqlPreviewTable | INFO | Successfully connected to the POSTGRESQL database 
2023-06-02T08:44:59.158Z | preview.controller.postgresqlPreviewTable | INFO | PostgreSQL preview successfull 
2023-06-02T08:45:02.792Z | preview.controller.postgresqlPreviewTable | INFO | Successfully connected to the POSTGRESQL database 
2023-06-02T08:45:02.848Z | preview.controller.postgresqlPreviewTable | INFO | PostgreSQL preview successfull 
2023-06-02T08:45:07.689Z | task.controller.update | INFO | Task was updated successfully 
2023-06-02T08:45:07.867Z | task.controller.findALLTasksForPipelineID | INFO | Retrieving the task for pipeline ID  
2023-06-02T08:49:45.254Z | preview.controller.postgresqlPreviewTable | INFO | Successfully connected to the POSTGRESQL database 
2023-06-02T08:49:45.312Z | preview.controller.postgresqlPreviewTable | INFO | PostgreSQL preview successfull 
2023-06-02T08:49:53.090Z | preview.controller.postgresqlPreviewTable | INFO | Successfully connected to the POSTGRESQL database 
2023-06-02T08:49:53.147Z | preview.controller.postgresqlPreviewTable | ERROR | Error fetching table rows 
2023-06-02T08:50:05.208Z | preview.controller.postgresqlPreviewTable | INFO | Successfully connected to the POSTGRESQL database 
2023-06-02T08:50:05.242Z | preview.controller.postgresqlPreviewTable | ERROR | Error fetching table rows 
2023-06-02T08:51:07.679Z | preview.controller.postgresqlPreviewTable | INFO | Successfully connected to the POSTGRESQL database 
2023-06-02T08:51:07.739Z | preview.controller.postgresqlPreviewTable | ERROR | Error fetching table rows 
2023-06-02T08:51:16.261Z | preview.controller.postgresqlPreviewTable | INFO | Successfully connected to the POSTGRESQL database 
2023-06-02T08:51:16.302Z | preview.controller.postgresqlPreviewTable | INFO | PostgreSQL preview successfull 
2023-06-02T08:51:21.592Z | preview.controller.postgresqlPreviewTable | INFO | Successfully connected to the POSTGRESQL database 
2023-06-02T08:51:21.632Z | preview.controller.postgresqlPreviewTable | ERROR | Error fetching table rows 
2023-06-02T08:51:32.392Z | preview.controller.postgresqlPreviewTable | INFO | Successfully connected to the POSTGRESQL database 
2023-06-02T08:51:32.423Z | preview.controller.postgresqlPreviewTable | ERROR | Error fetching table rows 
2023-06-02T08:51:58.234Z | preview.controller.postgresqlPreviewTable | INFO | Successfully connected to the POSTGRESQL database 
2023-06-02T08:51:58.286Z | preview.controller.postgresqlPreviewTable | INFO | PostgreSQL preview successfull 
2023-06-02T08:52:07.922Z | preview.controller.postgresqlPreviewTable | INFO | Successfully connected to the POSTGRESQL database 
2023-06-02T08:52:07.958Z | preview.controller.postgresqlPreviewTable | ERROR | Error fetching table rows 
2023-06-02T08:53:11.269Z | preview.controller.postgresqlPreviewTable | INFO | Successfully connected to the POSTGRESQL database 
2023-06-02T08:53:11.317Z | preview.controller.postgresqlPreviewTable | ERROR | Error fetching table rows 
2023-06-02T08:54:13.477Z | preview.controller.postgresqlPreviewTable | INFO | Successfully connected to the POSTGRESQL database 
2023-06-02T08:54:13.522Z | preview.controller.postgresqlPreviewTable | ERROR | Error fetching table rows 
2023-06-02T09:03:15.516Z | preview.controller.postgresqlPreviewTable | INFO | Successfully connected to the POSTGRESQL database 
2023-06-02T09:03:15.633Z | preview.controller.postgresqlPreviewTable | ERROR | Error fetching table rows 
2023-06-02T09:03:28.102Z | preview.controller.postgresqlPreviewTable | INFO | Successfully connected to the POSTGRESQL database 
2023-06-02T09:03:28.168Z | preview.controller.postgresqlPreviewTable | ERROR | Error fetching table rows 
2023-06-02T09:03:33.197Z | preview.controller.postgresqlPreviewTable | INFO | Successfully connected to the POSTGRESQL database 
2023-06-02T09:03:33.257Z | preview.controller.postgresqlPreviewTable | INFO | PostgreSQL preview successfull 
2023-06-02T09:03:40.424Z | preview.controller.mysqlPreviewTable | ERROR | error occurred 
2023-06-02T09:04:52.453Z | preview.controller.mysqlPreviewTable | ERROR | error occurred 
2023-06-02T09:05:03.969Z | preview.controller.postgresqlPreviewTable | INFO | Successfully connected to the POSTGRESQL database 
2023-06-02T09:05:04.056Z | preview.controller.postgresqlPreviewTable | ERROR | Error fetching table rows 
2023-06-02T09:06:14.733Z | preview.controller.postgresqlPreviewTable | INFO | Successfully connected to the POSTGRESQL database 
2023-06-02T09:06:14.787Z | preview.controller.postgresqlPreviewTable | ERROR | Error fetching table rows 
2023-06-02T09:08:53.030Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T09:08:53.214Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T09:09:05.142Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T09:09:05.339Z | preview.controller.myssqlPreviewTable | INFO | MSSQL Preview successfull 
2023-06-02T09:09:12.177Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T09:09:12.298Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving metadata information 
2023-06-02T09:09:20.796Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T09:09:20.827Z | preview.controller.myssqlPreviewTable | INFO | MSSQL Preview successfull 
2023-06-02T09:12:21.620Z | task.controller.findALLTasksForPipelineID | INFO | Retrieving the task for pipeline ID  
2023-06-02T09:12:50.981Z | connection.controller.findallwithdetails | INFO | retrieving the connections list 
2023-06-02T09:12:51.052Z | configuration.controller.getConnectionForm | INFO | retrieving configuration Form View 
2023-06-02T09:13:33.311Z | testconnection.controller.oracleConnection | INFO | connection successfull 
2023-06-02T09:13:36.801Z | connection.controller.create | INFO | connection has been created 
2023-06-02T09:13:36.908Z | connection.controller.findallwithdetails | INFO | retrieving the connections list 
2023-06-02T09:13:42.649Z | task.controller.findALLTasksForPipelineID | INFO | Retrieving the task for pipeline ID  
2023-06-02T09:13:42.803Z | configuration.controller.getTaskForm | INFO | retrieving task Form View 
2023-06-02T09:13:58.021Z | preview.controller.oraclePreviewTable | INFO | Successfully connected to ORACLE DB! 
2023-06-02T09:13:58.222Z | preview.controller.oraclePreviewTable | INFO | Oracle preview successfull 
2023-06-02T09:14:06.080Z | preview.controller.oraclePreviewTable | INFO | Successfully connected to ORACLE DB! 
2023-06-02T09:14:06.154Z | preview.controller.oraclePreviewTable | ERROR | ORACLE Database Connection Failed !!! 
